"Source:","/home/travis/e-cribbage/KiCAD/e-cribbage.sch"
"Date:","Wed 29 Jul 2020 05:02:40 PM CDT"
"Tool:","Eeschema 5.1.4+dfsg1-1"
"Component Count:","577"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BAT1","BS-7","Battery_Holders:Keystone_1058_1x2032-CoinCell","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","MPD (Memory Protection Devices)",""
"C1","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C2","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C3","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C4","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C5","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C6","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C7","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C8","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C9","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C10","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C11","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C12","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C13","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C14","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C15","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C16","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C17","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C18","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C19","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C20","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C21","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C22","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C23","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C24","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C25","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C26","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C27","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C28","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C29","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C30","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C31","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C32","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C33","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C34","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C35","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C36","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C37","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C38","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C39","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C40","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C41","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C42","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"C43","1.0uF","Capacitor_SMD:C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","",""
"D1","LED1","e-cribbage:LED_0603","~","",""
"D2","LED1","e-cribbage:LED_0603","~","",""
"D3","LED1","e-cribbage:LED_0603","~","",""
"D4","LED1","e-cribbage:LED_0603","~","",""
"D5","LED1","e-cribbage:LED_0603","~","",""
"D6","LED1","e-cribbage:LED_0603","~","",""
"D7","LED1","e-cribbage:LED_0603","~","",""
"D8","LED1","e-cribbage:LED_0603","~","",""
"D9","LED1","e-cribbage:LED_0603","~","",""
"D10","LED1","e-cribbage:LED_0603","~","",""
"D11","LED1","e-cribbage:LED_0603","~","",""
"D12","LED1","e-cribbage:LED_0603","~","",""
"D13","LED1","e-cribbage:LED_0603","~","",""
"D14","LED1","e-cribbage:LED_0603","~","",""
"D15","LED1","e-cribbage:LED_0603","~","",""
"D16","LED1","e-cribbage:LED_0603","~","",""
"D17","LED1","e-cribbage:LED_0603","~","",""
"D18","LED1","e-cribbage:LED_0603","~","",""
"D19","LED1","e-cribbage:LED_0603","~","",""
"D20","LED1","e-cribbage:LED_0603","~","",""
"D21","LED1","e-cribbage:LED_0603","~","",""
"D22","LED1","e-cribbage:LED_0603","~","",""
"D23","LED1","e-cribbage:LED_0603","~","",""
"D24","LED1","e-cribbage:LED_0603","~","",""
"D25","LED1","e-cribbage:LED_0603","~","",""
"D26","LED1","e-cribbage:LED_0603","~","",""
"D27","LED1","e-cribbage:LED_0603","~","",""
"D28","LED1","e-cribbage:LED_0603","~","",""
"D29","LED1","e-cribbage:LED_0603","~","",""
"D30","LED1","e-cribbage:LED_0603","~","",""
"D31","LED1","e-cribbage:LED_0603","~","",""
"D32","LED1","e-cribbage:LED_0603","~","",""
"D33","LED1","e-cribbage:LED_0603","~","",""
"D34","LED1","e-cribbage:LED_0603","~","",""
"D35","LED1","e-cribbage:LED_0603","~","",""
"D36","LED1","e-cribbage:LED_0603","~","",""
"D37","LED1","e-cribbage:LED_0603","~","",""
"D38","LED1","e-cribbage:LED_0603","~","",""
"D39","LED1","e-cribbage:LED_0603","~","",""
"D40","LED1","e-cribbage:LED_0603","~","",""
"D41","LED1","e-cribbage:LED_0603","~","",""
"D42","LED1","e-cribbage:LED_0603","~","",""
"D43","LED1","e-cribbage:LED_0603","~","",""
"D44","LED1","e-cribbage:LED_0603","~","",""
"D45","LED1","e-cribbage:LED_0603","~","",""
"D46","LED1","e-cribbage:LED_0603","~","",""
"D47","LED1","e-cribbage:LED_0603","~","",""
"D48","LED1","e-cribbage:LED_0603","~","",""
"D49","LED1","e-cribbage:LED_0603","~","",""
"D50","LED1","e-cribbage:LED_0603","~","",""
"D51","LED1","e-cribbage:LED_0603","~","",""
"D52","LED1","e-cribbage:LED_0603","~","",""
"D53","LED1","e-cribbage:LED_0603","~","",""
"D54","LED1","e-cribbage:LED_0603","~","",""
"D55","LED1","e-cribbage:LED_0603","~","",""
"D56","LED1","e-cribbage:LED_0603","~","",""
"D57","LED1","e-cribbage:LED_0603","~","",""
"D58","LED1","e-cribbage:LED_0603","~","",""
"D59","LED1","e-cribbage:LED_0603","~","",""
"D60","LED1","e-cribbage:LED_0603","~","",""
